data	nazwa_obszaru	masa [kg]	zawartosc [%]
2033-09-26	Tharsis	18,2	0,0
2033-09-27	Lunae Palus	12,7	5,3
2033-09-28	Arabia	21,4	8,3
2033-09-29	Noachis	21,3	11,8
2033-09-30	Lunae Palus	20,7	3,9
2033-10-01	Elysium	19,7	0,0
2033-10-02	Amazonis	27,2	17,6
2033-10-03	Syrtis Major	16,6	1,7
2033-10-04	Amazonis	22,3	0,0
2033-10-05	Iapygia	18,0	40,8
2033-10-06	Argyre	21,8	0,0
2033-10-07	Noachis	22,2	11,2
2033-10-08	Noachis	20,0	0,0
2033-10-09	Mare Tyrrhenum	29,4	0,7
2033-10-10	Iapygia	23,6	0,0
2033-10-11	Coprates	16,3	22,0
2033-10-12	Phoenicis Lacus	15,0	0,0
2033-10-13	Arabia	10,8	0,0
2033-10-14	Tharsis	10,5	0,0
2033-10-15	Amenthes	20,3	0,0
2033-10-16	Iapygia	13,1	50,4
2033-10-17	Sinus Sabaeus	24,8	7,9
2033-10-18	Amazonis	23,6	0,8
2033-10-19	Lunae Palus	17,9	0,0
2033-10-20	Sinus Sabaeus	23,2	3,0
2033-10-21	Ismenius Lacus	21,8	2,0
2033-10-22	Arcadia	22,2	3,1
2033-10-23	Phoenicis Lacus	29,0	16,4
2033-10-24	Argyre	24,6	1,7
2033-10-25	Sinus Sabaeus	23,4	0,6
2033-10-26	Phoenicis Lacus	21,0	0,0
2033-10-27	Amenthes	22,0	0,0
2033-10-28	Mare Boreum	29,9	8,0
2033-10-29	Coprates	27,2	19,2
2033-10-30	Tharsis	10,9	9,0
2033-10-31	Mare Boreum	22,6	5,9
2033-11-01	Aeolis	12,0	3,9
2033-11-02	Phoenicis Lacus	19,5	14,2
2033-11-03	Iapygia	27,0	10,9
2033-11-04	Mare Acidalium	10,7	5,6
2033-11-05	Tharsis	29,1	0,0
2033-11-06	Casius	25,3	0,0
2033-11-07	Noachis	13,3	4,4
2033-11-08	Coprates	16,9	0,0
2033-11-09	Phoenicis Lacus	26,4	6,8
2033-11-10	Arabia	29,7	0,0
2033-11-11	Coprates	17,6	8,7
2033-11-12	Lunae Palus	13,2	3,3
2033-11-13	Phoenicis Lacus	21,2	0,0
2033-11-14	Phoenicis Lacus	23,0	7,7
2033-11-15	Amazonis	23,0	0,0
2033-11-16	Amazonis	23,4	0,0
2033-11-17	Coprates	28,7	3,3
2033-11-18	Arcadia	23,6	4,3
2033-11-19	Noachis	10,2	8,7
2033-11-20	Mare Boreum	13,8	0,0
2033-11-21	Ismenius Lacus	27,7	0,0
2033-11-22	Coprates	13,3	7,2
2033-11-23	Amazonis	26,0	0,7
2033-11-24	Noachis	16,3	11,0
2033-11-25	Phoenicis Lacus	23,5	15,5
2033-11-26	Casius	15,7	0,0
2033-11-27	Arcadia	26,0	6,4
2033-11-28	Tharsis	22,7	0,0
2033-11-29	Mare Boreum	26,2	5,7
2033-11-30	Mare Acidalium	14,1	0,0
2033-12-01	Amazonis	23,6	19,7
2033-12-02	Tharsis	25,2	37,2
2033-12-03	Eridania	23,0	0,0
2033-12-04	Noachis	29,7	6,8
2033-12-05	Mare Boreum	17,2	3,5
2033-12-06	Mare Boreum	21,7	2,5
2033-12-07	Amazonis	25,8	3,8
2033-12-08	Arcadia	12,9	1,6
2033-12-09	Oxia Palus	18,2	0,0
2033-12-10	Iapygia	20,0	25,7
2033-12-11	Tharsis	17,1	33,0
2033-12-12	Amenthes	23,2	2,3
2033-12-13	Phoenicis Lacus	23,1	2,2
2033-12-14	Iapygia	22,4	33,5
2033-12-15	Phaethontis	25,4	0,9
2033-12-16	Iapygia	15,4	1,6
2033-12-17	Syrtis Major	23,5	0,6
2033-12-18	Phoenicis Lacus	10,3	15,4
2033-12-19	Iapygia	15,5	20,2
2033-12-20	Argyre	20,7	3,0
2033-12-21	Eridania	12,7	14,4
2033-12-22	Aeolis	22,8	3,3
2033-12-23	Diacria	20,5	0,0
2033-12-24	Mare Acidalium	13,1	5,9
2033-12-25	Margaritifer Sinus	29,0	1,0
2033-12-26	Tharsis	15,4	0,0
2033-12-27	Iapygia	20,3	10,7
2033-12-28	Iapygia	15,0	0,0
2033-12-29	Memnonia	16,6	0,0
2033-12-30	Amazonis	28,6	0,0
2033-12-31	Lunae Palus	11,4	3,6
2034-01-01	Mare Boreum	15,5	1,0
2034-01-02	Noachis	18,3	0,7
2034-01-03	Tharsis	14,9	6,1
2034-01-04	Amazonis	29,7	13,3
2034-01-05	Coprates	28,9	13,8
2034-01-06	Lunae Palus	24,3	0,0
2034-01-07	Iapygia	24,0	19,7
2034-01-08	Phoenicis Lacus	11,8	13,3
2034-01-09	Iapygia	26,5	19,7
2034-01-10	Arcadia	12,4	5,1
2034-01-11	Iapygia	21,9	6,6
2034-01-12	Iapygia	20,3	0,0
2034-01-13	Mare Tyrrhenum	27,7	0,3
2034-01-14	Tharsis	28,5	30,0
2034-01-15	Margaritifer Sinus	28,7	1,9
2034-01-16	Cebrenia	10,9	0,0
2034-01-17	Mare Boreum	13,7	0,0
2034-01-18	Amazonis	28,2	0,0
2034-01-19	Tharsis	20,1	0,0
2034-01-20	Amazonis	20,6	0,0
2034-01-21	Eridania	15,5	16,8
2034-01-22	Sinus Sabaeus	22,2	2,4
2034-01-23	Eridania	15,0	4,1
2034-01-24	Tharsis	18,4	30,4
2034-01-25	Mare Tyrrhenum	29,3	0,4
2034-01-26	Aeolis	23,9	3,3
2034-01-27	Elysium	29,8	3,3
2034-01-28	Iapygia	29,1	23,0
2034-01-29	Amazonis	22,5	17,2
2034-01-30	Tharsis	15,3	21,5
2034-01-31	Iapygia	13,8	40,4
2034-02-01	Coprates	12,3	0,0
2034-02-02	Amenthes	18,5	4,2
2034-02-03	Elysium	10,3	3,2
2034-02-04	Tharsis	24,9	12,1
2034-02-05	Iapygia	26,4	0,0
2034-02-06	Coprates	11,8	0,0
2034-02-07	Noachis	11,0	7,5
2034-02-08	Iapygia	15,4	5,2
2034-02-09	Casius	25,7	5,8
2034-02-10	Eridania	14,8	0,0
2034-02-11	Hellas	21,5	0,8
2034-02-12	Tharsis	26,2	8,9
2034-02-13	Cebrenia	20,6	0,1
2034-02-14	Iapygia	14,1	20,9
2034-02-15	Argyre	20,8	0,7
2034-02-16	Memnonia	17,6	10,5
2034-02-17	Iapygia	16,8	38,9
2034-02-18	Cebrenia	23,1	0,0
2034-02-19	Casius	16,3	3,4
2034-02-20	Coprates	15,7	10,9
2034-02-21	Memnonia	29,3	2,1
2034-02-22	Mare Acidalium	24,0	7,3
2034-02-23	Noachis	27,0	0,6
2034-02-24	Iapygia	26,3	1,2
2034-02-25	Phoenicis Lacus	26,3	8,2
2034-02-26	Noachis	25,2	4,7
2034-02-27	Iapygia	22,1	0,0
2034-02-28	Iapygia	11,9	41,6
2034-03-01	Eridania	19,6	0,0
2034-03-02	Casius	15,9	0,0
2034-03-03	Sinus Sabaeus	24,3	1,7
2034-03-04	Arabia	20,0	0,0
2034-03-05	Iapygia	14,2	32,2
2034-03-06	Coprates	20,5	18,3
2034-03-07	Iapygia	22,4	0,0
2034-03-08	Mare Acidalium	19,1	0,0
2034-03-09	Phoenicis Lacus	20,4	4,3
2034-03-10	Tharsis	29,8	0,0
2034-03-11	Phaethontis	13,7	0,7
2034-03-12	Ismenius Lacus	20,2	3,7
2034-03-13	Amazonis	18,2	1,6
2034-03-14	Eridania	14,2	2,0
2034-03-15	Phoenicis Lacus	11,2	14,3
2034-03-16	Mare Tyrrhenum	13,9	0,2
2034-03-17	Amazonis	22,6	15,1
2034-03-18	Phoenicis Lacus	29,8	0,0
2034-03-19	Elysium	12,7	2,6
2034-03-20	Casius	14,4	0,0
2034-03-21	Phaethontis	18,4	0,2
2034-03-22	Mare Boreum	27,2	9,6
2034-03-23	Mare Acidalium	12,5	8,8
2034-03-24	Arcadia	22,6	3,5
2034-03-25	Coprates	21,8	6,5
2034-03-26	Aeolis	17,2	0,0
2034-03-27	Eridania	13,4	14,1
2034-03-28	Mare Boreum	13,8	9,9
2034-03-29	Argyre	10,6	1,2
2034-03-30	Oxia Palus	28,8	0,1
2034-03-31	Thaumasia	16,9	0,7
2034-04-01	Memnonia	11,2	4,8
2034-04-02	Iapygia	13,9	23,0
2034-04-03	Amazonis	25,3	21,9
2034-04-04	Iapygia	14,7	0,0
2034-04-05	Sinus Sabaeus	20,3	5,3
2034-04-06	Phoenicis Lacus	25,0	3,8
2034-04-07	Memnonia	19,6	0,6
2034-04-08	Sinus Sabaeus	10,8	0,0
2034-04-09	Margaritifer Sinus	17,1	0,7
2034-04-10	Arabia	15,1	0,0
2034-04-11	Memnonia	26,4	1,9
2034-04-12	Iapygia	11,6	14,4
2034-04-13	Iapygia	16,6	40,6
2034-04-14	Tharsis	19,5	24,9
2034-04-15	Lunae Palus	24,9	6,5
2034-04-16	Aeolis	19,3	0,8
2034-04-17	Lunae Palus	26,2	2,8
2034-04-18	Coprates	28,1	0,6
2034-04-19	Arabia	17,0	4,8
2034-04-20	Lunae Palus	28,5	7,1
2034-04-21	Amenthes	14,2	2,1
2034-04-22	Coprates	24,9	8,3
2034-04-23	Lunae Palus	19,1	3,4
2034-04-24	Iapygia	14,9	23,1
2034-04-25	Casius	16,9	6,8
2034-04-26	Sinus Sabaeus	15,9	6,8
2034-04-27	Mare Australe	26,3	0,7
2034-04-28	Iapygia	12,2	0,0
2034-04-29	Coprates	27,5	0,0
2034-04-30	Margaritifer Sinus	23,0	0,0
2034-05-01	Tharsis	17,9	36,8
2034-05-02	Tharsis	27,3	0,0
2034-05-03	Cebrenia	19,3	0,4
2034-05-04	Arabia	25,5	0,0
2034-05-05	Noachis	13,7	11,7
2034-05-06	Tharsis	18,4	0,0
2034-05-07	Memnonia	11,1	0,0
2034-05-08	Sinus Sabaeus	28,0	0,0
2034-05-09	Noachis	16,2	13,7
2034-05-10	Tharsis	12,1	37,2
2034-05-11	Elysium	21,4	3,1
2034-05-12	Iapygia	11,2	0,0
2034-05-13	Thaumasia	18,4	0,2
2034-05-14	Sinus Sabaeus	13,7	0,0
2034-05-15	Tharsis	10,4	15,6
2034-05-16	Hellas	21,8	0,0
2034-05-17	Coprates	11,0	0,4
2034-05-18	Iapygia	19,0	21,9
2034-05-19	Iapygia	12,5	0,0
2034-05-20	Phoenicis Lacus	13,6	12,6
2034-05-21	Iapygia	20,2	17,9
2034-05-22	Iapygia	28,7	0,0
2034-05-23	Elysium	13,4	4,8
2034-05-24	Phoenicis Lacus	12,0	8,9
2034-05-25	Amazonis	28,9	13,9
2034-05-26	Mare Acidalium	25,2	0,0
2034-05-27	Amazonis	18,6	1,8
2034-05-28	Arcadia	20,0	2,4
2034-05-29	Mare Boreum	14,3	3,9
2034-05-30	Iapygia	28,8	25,1
2034-05-31	Tharsis	26,8	10,8
2034-06-01	Tharsis	20,4	0,0
2034-06-02	Mare Acidalium	14,1	4,5
2034-06-03	Arabia	28,1	6,3
2034-06-04	Eridania	15,7	11,5
2034-06-05	Mare Australe	27,7	0,6
2034-06-06	Coprates	22,9	22,6
2034-06-07	Eridania	10,3	0,0
2034-06-08	Aeolis	28,4	4,0
2034-06-09	Memnonia	18,7	15,0
2034-06-10	Tharsis	13,7	9,4
2034-06-11	Arabia	16,3	3,6
2034-06-12	Casius	14,0	0,0
2034-06-13	Phoenicis Lacus	26,0	5,5
2034-06-14	Tharsis	27,0	38,6
2034-06-15	Iapygia	26,6	49,7
2034-06-16	Tharsis	20,9	30,0
2034-06-17	Mare Acidalium	28,5	5,3
2034-06-18	Amenthes	10,4	0,0
2034-06-19	Memnonia	25,9	9,2
2034-06-20	Amazonis	24,6	11,0
2034-06-21	Oxia Palus	22,0	0,0
2034-06-22	Ismenius Lacus	16,8	2,4
2034-06-23	Iapygia	21,7	44,1
2034-06-24	Sinus Sabaeus	28,9	0,0
2034-06-25	Eridania	26,6	0,4
2034-06-26	Phoenicis Lacus	28,0	16,7
2034-06-27	Lunae Palus	27,5	0,0
2034-06-28	Mare Acidalium	18,2	0,0
2034-06-29	Memnonia	25,1	0,0
2034-06-30	Cebrenia	10,1	0,2
2034-07-01	Phoenicis Lacus	13,1	7,9
2034-07-02	Mare Boreum	22,9	0,0
2034-07-03	Mare Boreum	26,3	4,0
2034-07-04	Tharsis	11,3	19,8
2034-07-05	Iapygia	30,0	0,0
2034-07-06	Mare Acidalium	20,4	0,0
2034-07-07	Coprates	24,5	8,7
2034-07-08	Amazonis	17,0	2,7
2034-07-09	Tharsis	21,0	5,6
2034-07-10	Tharsis	20,7	0,0
2034-07-11	Sinus Sabaeus	26,7	9,8
2034-07-12	Diacria	10,2	0,1
2034-07-13	Iapygia	15,7	5,8
2034-07-14	Phaethontis	15,9	2,2
2034-07-15	Tharsis	21,0	13,1
2034-07-16	Mare Boreum	10,9	8,1
2034-07-17	Mare Acidalium	20,9	5,9
2034-07-18	Tharsis	21,8	15,9
2034-07-19	Phoenicis Lacus	11,9	18,1
2034-07-20	Eridania	12,9	0,0
2034-07-21	Tharsis	14,9	4,8
2034-07-22	Iapygia	29,5	0,0
2034-07-23	Tharsis	18,1	0,0
2034-07-24	Noachis	10,8	11,8
2034-07-25	Mare Boreum	13,5	5,4
2034-07-26	Mare Acidalium	15,9	0,0
2034-07-27	Arcadia	23,1	0,0
2034-07-28	Oxia Palus	26,7	0,0
2034-07-29	Iapygia	26,0	29,1
2034-07-30	Memnonia	23,6	9,1
2034-07-31	Arcadia	29,8	5,7
2034-08-01	Tharsis	18,6	0,0
2034-08-02	Phoenicis Lacus	17,6	2,4
2034-08-03	Phoenicis Lacus	12,6	9,2
2034-08-04	Lunae Palus	25,4	5,4
2034-08-05	Elysium	12,8	3,6
2034-08-06	Amazonis	18,7	0,0
2034-08-07	Phaethontis	22,3	0,0
2034-08-08	Memnonia	26,4	0,5
2034-08-09	Coprates	28,5	3,2
2034-08-10	Lunae Palus	16,8	5,5
2034-08-11	Casius	24,7	0,8
2034-08-12	Mare Boreum	29,6	0,0
2034-08-13	Iapygia	23,3	29,4
2034-08-14	Mare Boreum	28,8	11,5
2034-08-15	Mare Boreum	26,5	0,0
2034-08-16	Aeolis	17,1	3,6
2034-08-17	Mare Boreum	17,8	7,0
2034-08-18	Casius	24,7	1,5
2034-08-19	Tharsis	25,1	0,0
2034-08-20	Mare Tyrrhenum	27,0	0,0
2034-08-21	Memnonia	18,2	13,9
2034-08-22	Phoenicis Lacus	10,8	7,9
2034-08-23	Coprates	27,9	9,9
2034-08-24	Argyre	14,1	0,7
2034-08-25	Memnonia	17,5	3,2
2034-08-26	Iapygia	14,3	0,0
2034-08-27	Elysium	15,4	0,0
2034-08-28	Tharsis	17,5	0,0
2034-08-29	Eridania	11,6	4,1
2034-08-30	Mare Boreum	27,9	10,3
2034-08-31	Tharsis	11,8	20,2
2034-09-01	Coprates	12,0	8,5
2034-09-02	Iapygia	11,8	7,8
2034-09-03	Lunae Palus	22,2	0,0
2034-09-04	Coprates	13,3	3,8
2034-09-05	Eridania	24,6	2,1
2034-09-06	Tharsis	15,7	0,0
2034-09-07	Memnonia	26,7	16,2
2034-09-08	Phoenicis Lacus	28,1	1,1
2034-09-09	Iapygia	29,1	3,0
2034-09-10	Coprates	26,2	0,0
2034-09-11	Hellas	23,3	0,0
2034-09-12	Tharsis	21,7	10,4
2034-09-13	Memnonia	18,8	15,6
2034-09-14	Phoenicis Lacus	25,4	7,4
2034-09-15	Amazonis	21,1	1,0
2034-09-16	Amazonis	25,1	20,0
2034-09-17	Coprates	17,6	0,0
2034-09-18	Phoenicis Lacus	21,2	3,4
2034-09-19	Coprates	26,4	14,7
2034-09-20	Amenthes	13,5	0,0
2034-09-21	Mare Acidalium	25,1	0,0
2034-09-22	Amazonis	10,4	11,0
2034-09-23	Phoenicis Lacus	24,3	4,9
2034-09-24	Sinus Sabaeus	18,7	6,2
2034-09-25	Phaethontis	14,1	0,0
2034-09-26	Aeolis	24,2	0,0
2034-09-27	Mare Acidalium	26,4	0,0
2034-09-28	Iapygia	24,5	4,0
2034-09-29	Arabia	25,5	2,9
2034-09-30	Amazonis	11,8	13,5
2034-10-01	Mare Acidalium	14,3	5,4
2034-10-02	Mare Boreum	12,4	1,2
2034-10-03	Tharsis	29,3	19,8
2034-10-04	Coprates	29,4	0,0
2034-10-05	Eridania	29,8	16,0
2034-10-06	Tharsis	29,9	13,3
2034-10-07	Mare Boreum	11,6	9,7
2034-10-08	Amazonis	10,2	0,0
2034-10-09	Mare Boreum	10,7	11,9
2034-10-10	Diacria	11,7	0,1
2034-10-11	Memnonia	29,4	9,6
2034-10-12	Elysium	29,1	2,6
2034-10-13	Iapygia	20,5	30,1
2034-10-14	Coprates	26,2	19,0
2034-10-15	Phoenicis Lacus	22,6	0,0
2034-10-16	Arabia	17,7	0,0
2034-10-17	Tharsis	21,2	0,0
2034-10-18	Phaethontis	10,3	0,2
2034-10-19	Syrtis Major	10,1	2,1
2034-10-20	Ismenius Lacus	23,4	3,9
2034-10-21	Hellas	11,7	0,0
2034-10-22	Amenthes	26,0	2,1
2034-10-23	Diacria	29,5	0,4
2034-10-24	Arabia	13,0	4,4
2034-10-25	Mare Boreum	17,1	3,8
2034-10-26	Casius	12,6	0,2
2034-10-27	Iapygia	23,6	24,1
2034-10-28	Amazonis	14,9	14,2
2034-10-29	Sinus Sabaeus	17,0	0,0
2034-10-30	Amazonis	12,8	0,0
2034-10-31	Eridania	17,5	0,0
2034-11-01	Iapygia	13,9	15,3
2034-11-02	Tharsis	25,9	14,5
2034-11-03	Lunae Palus	12,1	0,0
2034-11-04	Coprates	25,8	12,3
2034-11-05	Mare Boreum	29,1	0,0
2034-11-06	Iapygia	13,2	0,0
2034-11-07	Coprates	29,4	12,8
2034-11-08	Phoenicis Lacus	21,0	0,0
2034-11-09	Noachis	22,7	12,4
2034-11-10	Iapygia	25,1	43,4
2034-11-11	Iapygia	26,8	26,9
2034-11-12	Mare Australe	15,9	0,5
2034-11-13	Memnonia	27,6	0,0
2034-11-14	Syrtis Major	20,8	0,0
2034-11-15	Noachis	23,9	9,9
2034-11-16	Casius	24,8	4,7
2034-11-17	Tharsis	16,3	0,0
2034-11-18	Memnonia	20,1	0,0
2034-11-19	Mare Acidalium	25,9	8,9
2034-11-20	Tharsis	27,3	15,8
2034-11-21	Noachis	19,1	6,3
2034-11-22	Iapygia	16,9	0,0
2034-11-23	Coprates	13,4	20,1
2034-11-24	Argyre	24,8	0,4
2034-11-25	Lunae Palus	28,4	1,6
2034-11-26	Aeolis	25,3	1,8
2034-11-27	Memnonia	25,9	1,6
2034-11-28	Noachis	12,2	0,8
2034-11-29	Phaethontis	22,8	2,3
2034-11-30	Tharsis	12,7	0,0
2034-12-01	Arcadia	13,0	5,1
