nr_lazika	data_pomiaru	kod_obszaru	wspolrzedne	glebokosc	ilosc
23	2057-10-03	MC-24	35.12S, 161.73W	63	2054
28	2060-03-12	MC-25	61.09S, 63.95W	37	26004
3	2052-05-31	MC-24	35.50S, 135.60W	88	1010
98	2072-11-28	MC-22	29.66S, 105.89E	36	4731
10	2058-11-29	MC-19	7.05S, 32.11W	39	7279
12	2058-03-10	MC-09	4.20N, 124.44W	163	1656
23	2055-05-17	MC-16	16.39S, 150.10W	113	6006
26	2056-08-19	MC-21	24.09S, 85.75E	175	4902
37	2063-01-27	MC-14	7.59N, 129.66E	117	5812
37	2064-03-23	MC-15	22.90N, 145.91E	54	9670
2	2056-03-09	MC-07	32.02N, 134.62E	39	8000
37	2064-06-03	MC-23	3.46S, 138.74E	133	2599
38	2065-12-31	MC-01	77.72N, 101.35W	52	629
32	2061-04-08	MC-25	39.77S, 112.37W	169	7052
85	2074-03-10	MC-22	3.81S, 116.25E	63	5436
89	2077-04-26	MC-30	82.40S, 75.39W	65	45837
4	2057-07-25	MC-26	41.35S, 2.45W	100	11011
32	2061-03-02	MC-25	36.58S, 119.89W	106	2054
90	2074-12-05	MC-30	67.49S, 153.23W	7	50510
31	2062-07-21	MC-03	51.94N, 82.58W	36	22220
36	2064-03-19	MC-08	23.77N, 164.50W	277	1788
94	2071-10-22	MC-30	66.71S, 125.61E	241	31157
94	2070-02-06	MC-29	59.77S, 130.93E	307	20205
85	2074-10-28	MC-21	20.47S, 79.71E	124	3461
94	2072-07-20	MC-29	38.08S, 160.18E	482	1138
32	2066-09-14	MC-25	34.69S, 100.22W	252	8000
94	2072-11-17	MC-29	39.72S, 133.15E	19	5436
79	2075-08-09	MC-14	4.17N, 110.30E	905	883
5	2055-01-08	MC-12	16.75N, 44.16E	307	1138
8	2057-01-15	MC-27	61.79S, 13.85E	447	2461
2	2051-03-01	MC-22	3.84S, 112.05E	231	4235
23	2056-05-31	MC-16	28.14S, 161.00W	29	6832
27	2062-07-28	MC-30	71.21S, 75.57E	34	1267
69	2071-08-13	MC-01	71.25N, 171.44E	572	3167
77	2074-11-18	MC-22	18.19S, 115.91E	117	4076
69	2077-05-15	MC-01	71.82N, 171.18W	142	5076
94	2071-11-30	MC-29	41.83S, 128.90E	25	3919
13	2054-03-17	MC-07	54.79N, 121.12E	63	4398
31	2063-06-12	MC-03	48.86N, 79.49W	80	12605
68	2069-06-12	MC-14	27.61N, 101.02E	93	2188
83	2071-05-05	MC-06	39.28N, 79.30E	32	8255
56	2072-08-04	MC-18	11.17S, 56.34W	133	1526
27	2058-12-30	MC-30	73.52S, 96.78E	14	11382
77	2078-04-01	MC-28	41.75S, 87.89E	241	3313
31	2060-05-25	MC-01	84.94N, 78.07W	47	8000
22	2057-04-05	MC-12	21.34N, 23.57E	67	11771
38	2065-11-15	MC-03	61.36N, 116.66W	19	6205
2	2055-12-18	MC-22	11.92S, 107.95E	37	3313
82	2071-02-28	MC-29	59.57S, 146.59E	389	21171
20	2057-02-28	MC-28	42.32S, 83.37E	19	8791
66	2070-12-16	MC-14	20.48N, 133.77E	157	1526
23	2055-12-20	MC-16	11.10S, 154.57W	117	3022
10	2061-05-05	MC-19	1.78S, 38.89W	631	5436
38	2065-09-28	MC-03	60.64N, 99.92W	482	9366
72	2075-10-02	MC-17	24.70S, 111.09W	631	1010
99	2073-11-14	MC-05	43.52N, 29.85E	1270	3313
86	2076-03-20	MC-01	76.05N, 108.59E	147	1920
94	2069-04-09	MC-29	64.05S, 160.13E	702	5436
31	2066-05-14	MC-01	70.95N, 96.61W	70	9366
69	2076-03-31	MC-07	63.37N, 150.99E	221	1788
12	2058-05-22	MC-17	2.52S, 104.33W	241	1396
10	2063-10-04	MC-19	27.49S, 37.58W	25	3167
47	2067-10-28	MC-04	47.98N, 1.00W	572	5622
33	2061-12-17	MC-01	85.19N, 46.50E	22	13527
37	2064-04-06	MC-15	6.22N, 136.35E	252	1010
4	2053-05-11	MC-26	42.44S, 36.02W	32	1010
5	2057-02-19	MC-13	8.89N, 46.42E	344	3022
58	2071-05-19	MC-26	52.59S, 1.59W	47	15700
44	2069-12-28	MC-01	76.68N, 123.06E	113	3022
99	2073-04-02	MC-12	15.77N, 3.31E	325	3612
91	2074-12-22	MC-01	81.35N, 142.02W	1270	33322
26	2059-11-24	MC-30	71.42S, 79.46E	61	15700
20	2058-02-17	MC-28	47.01S, 74.76E	45	1010
47	2067-09-24	MC-12	15.72N, 1.51E	252	3764
94	2073-03-21	MC-29	42.49S, 132.75E	50	2188
30	2060-06-03	MC-10	19.34N, 63.70W	344	10313
29	2060-06-06	MC-16	23.27S, 137.39W	29	756
34	2065-05-12	MC-14	17.83N, 130.98E	77	9985
9	2058-11-09	MC-19	22.57S, 11.89W	50	5436
44	2067-12-15	MC-01	78.89N, 120.60E	12	3764
33	2061-10-22	MC-01	71.96N, 56.96E	175	22220
4	2053-10-05	MC-26	62.20S, 42.70W	109	7512
47	2074-03-18	MC-11	1.23N, 26.82W	188	2461
5	2054-03-30	MC-20	1.78S, 43.03E	52	2599
12	2058-01-23	MC-17	6.67S, 129.37W	252	2188
74	2074-05-04	MC-12	9.74N, 13.87E	85	8000
12	2056-06-14	MC-09	6.74N, 114.74W	67	3313
29	2060-11-16	MC-24	43.04S, 160.07W	325	38630
24	2056-06-22	MC-23	28.22S, 139.03E	117	9366
99	2073-12-23	MC-11	16.22N, 5.12W	292	4731
76	2073-12-04	MC-07	52.46N, 151.77E	25	3919
46	2067-12-10	MC-25	52.55S, 117.09W	204	4235
9	2057-09-02	MC-19	5.80S, 3.59W	52	1656
29	2059-07-03	MC-24	34.82S, 136.68W	61	11771
99	2074-11-06	MC-12	13.79N, 7.27E	65	4235
47	2072-10-06	MC-12	3.27N, 2.38E	264	4563
56	2070-06-14	MC-26	40.20S, 53.93W	307	27536
42	2066-02-26	MC-15	26.19N, 161.22E	157	6832
92	2074-05-27	MC-01	75.18N, 65.18E	169	27536
28	2059-11-20	MC-25	53.49S, 75.04W	264	1010
22	2055-06-27	MC-20	12.06S, 25.16E	41	3461
91	2075-04-11	MC-02	64.93N, 148.39W	47	26004
84	2071-02-22	MC-07	49.40N, 121.01E	163	72463
85	2072-11-11	MC-22	8.99S, 108.79E	137	3167
81	2069-05-22	MC-16	5.40S, 162.89W	147	6832
77	2076-04-06	MC-28	45.94S, 82.01E	325	1138
85	2075-02-21	MC-22	10.80S, 115.30E	277	4731
46	2067-09-17	MC-25	49.43S, 116.49W	241	17718
69	2070-11-16	MC-01	88.12N, 145.48E	133	23366
94	2069-03-20	MC-29	35.19S, 136.64E	30	24621
10	2062-02-26	MC-18	7.10S, 58.97W	113	6006
56	2071-12-02	MC-18	26.87S, 62.87W	12	13527
27	2063-07-30	MC-28	55.89S, 108.99E	80	1138
2	2054-09-03	MC-22	3.16S, 109.35E	572	2461
9	2056-08-29	MC-26	34.32S, 20.32W	344	6832
47	2069-03-28	MC-11	21.98N, 40.12W	43	2054
61	2073-07-20	MC-26	53.64S, 3.34W	36	5436
66	2074-06-04	MC-14	11.34N, 131.27E	905	9366
5	2060-08-26	MC-13	21.92N, 79.44E	196	8519
42	2069-01-21	MC-15	5.01N, 170.28E	133	756
28	2063-04-22	MC-30	76.27S, 67.37W	181	4902
5	2058-08-21	MC-13	8.53N, 64.98E	77	6409
17	2063-02-11	MC-06	39.77N, 100.13E	106	17000
12	2057-01-15	MC-09	9.22N, 118.21W	47	3167
69	2073-01-15	MC-07	51.89N, 175.12E	61	9366
27	2064-07-24	MC-28	63.62S, 95.52E	59	3461
72	2071-11-12	MC-17	28.18S, 129.90W	344	5255
69	2076-08-26	MC-07	57.73N, 166.32E	72	56210
10	2059-12-18	MC-18	16.78S, 68.34W	196	7279
2	2051-12-16	MC-15	3.32N, 136.50E	54	629
18	2059-11-21	MC-16	10.49S, 169.47W	63	7752
94	2068-08-28	MC-22	29.43S, 131.76E	128	9366
52	2068-11-18	MC-09	6.95N, 121.31W	221	2599
26	2059-02-02	MC-28	47.04S, 75.09E	72	31157
42	2067-08-01	MC-15	29.12N, 172.45E	29	4563
23	2056-07-04	MC-16	8.15S, 137.21W	389	4398
9	2060-02-05	MC-19	29.97S, 32.29W	702	1396
9	2056-11-30	MC-20	15.53S, 10.71E	30	756
35	2064-10-21	MC-18	6.27S, 89.52W	52	3919
72	2074-08-20	MC-17	13.85S, 122.33W	325	1526
90	2073-10-17	MC-30	79.72S, 155.36W	791	1396
23	2056-01-21	MC-24	32.30S, 160.02W	163	883
28	2061-03-30	MC-26	61.23S, 46.24W	85	6832
31	2062-05-12	MC-01	89.47N, 87.93W	9	2188
4	2054-12-28	MC-19	24.32S, 9.22W	19	4076
66	2069-08-06	MC-15	15.60N, 161.02E	96	3919
2	2055-11-08	MC-15	11.37N, 139.49E	80	3313
97	2070-08-30	MC-01	72.89N, 31.93W	447	8255
83	2070-01-12	MC-01	73.86N, 85.58E	27	7512
86	2072-12-02	MC-01	74.74N, 124.71E	106	629
11	2056-06-28	MC-26	55.62S, 15.00W	905	5436
13	2055-08-02	MC-07	55.04N, 127.70E	48	19313
55	2068-01-03	MC-07	55.44N, 141.66E	103	1267
44	2069-10-27	MC-01	87.90N, 127.38E	482	3919
2	2058-04-29	MC-14	19.24N, 129.90E	103	3461
94	2069-01-17	MC-29	41.05S, 142.92E	65	5436
18	2058-05-20	MC-23	7.85S, 177.25E	82	3461
10	2057-09-02	MC-18	1.76S, 51.93W	50	5436
77	2077-04-20	MC-28	45.41S, 101.01E	128	24621
77	2074-08-07	MC-28	45.23S, 114.23E	277	9366
52	2067-08-19	MC-17	4.95S, 127.02W	52	883
56	2070-10-17	MC-25	48.44S, 61.28W	307	883
76	2080-11-13	MC-07	38.44N, 162.80E	264	29243
76	2078-09-04	MC-07	50.22N, 155.61E	277	4235
2	2050-12-17	MC-14	20.48N, 131.18E	96	1920
52	2069-08-04	MC-08	25.67N, 136.96W	152	4902
72	2073-10-15	MC-17	19.65S, 115.46W	231	5812
89	2075-12-15	MC-25	43.85S, 91.34W	117	18486
61	2073-01-29	MC-26	57.72S, 9.81W	36	8255
95	2072-08-02	MC-09	17.54N, 92.42W	103	11382
54	2069-03-31	MC-14	29.64N, 116.61E	447	1396
76	2075-10-31	MC-07	63.64N, 166.42E	113	5622
39	2065-01-13	MC-30	80.79S, 178.28E	45	1396
32	2060-12-23	MC-17	28.53S, 101.45W	241	9366
5	2054-02-12	MC-13	14.77N, 72.93E	39	1267
34	2063-12-25	MC-14	11.32N, 101.12E	791	5622
19	2057-03-31	MC-07	53.37N, 164.78E	175	9670
73	2072-11-24	MC-25	57.05S, 69.57W	137	5436
38	2064-08-11	MC-02	59.85N, 121.67W	241	9366
22	2056-01-08	MC-13	15.91N, 60.52E	37	756
9	2056-05-07	MC-27	32.56S, 7.94E	133	8791
95	2071-06-04	MC-18	3.46S, 66.41W	48	4902
9	2058-02-26	MC-19	1.17S, 24.59W	152	1138
66	2074-07-08	MC-15	10.75N, 158.78E	325	1920
52	2066-01-27	MC-08	6.26N, 136.91W	631	2739
4	2052-12-13	MC-26	44.02S, 41.43W	47	2739
18	2059-01-31	MC-23	22.24S, 169.40E	59	2599
46	2067-08-19	MC-25	51.77S, 111.20W	1057	27536
72	2074-03-18	MC-17	25.87S, 119.04W	142	9074
34	2060-12-16	MC-14	21.67N, 113.72E	52	9074
42	2065-02-06	MC-07	39.69N, 171.34E	29	1010
77	2075-04-17	MC-28	34.82S, 108.81E	241	23366
77	2073-12-31	MC-21	11.25S, 85.75E	70	2324
56	2070-08-04	MC-18	18.25S, 79.06W	113	8791
71	2071-02-16	MC-24	64.81S, 150.82W	88	15700
2	2053-01-08	MC-07	34.13N, 130.55E	75	3919
22	2057-03-01	MC-12	4.93N, 22.81E	128	3461
27	2062-10-28	MC-28	63.34S, 90.93E	63	1656
56	2069-07-24	MC-18	24.95S, 50.97W	142	2599
85	2075-06-18	MC-22	6.21S, 119.61E	109	4398
22	2057-03-19	MC-12	23.74N, 35.50E	43	9985
75	2075-09-28	MC-22	27.74S, 93.12E	22	5622
34	2061-10-24	MC-06	38.23N, 110.00E	48	9366
100	2072-07-03	MC-30	74.77S, 153.75W	96	9670
32	2067-02-19	MC-17	29.66S, 108.37W	482	6832
97	2071-11-13	MC-01	89.97N, 39.51W	15	27536
79	2076-05-31	MC-14	11.62N, 104.41E	365	7052
62	2068-08-28	MC-20	9.55S, 41.00E	142	3764
52	2068-12-09	MC-08	12.78N, 141.11W	169	629
56	2072-02-06	MC-18	24.62S, 82.24W	212	6409
31	2060-05-15	MC-03	56.89N, 105.21W	27	11771
40	2063-06-10	MC-23	27.53S, 141.67E	29	1396
21	2058-01-13	MC-17	14.37S, 132.38W	41	1010
91	2074-07-02	MC-01	71.54N, 128.44W	524	6409
76	2080-04-02	MC-07	62.68N, 145.81E	45	11382
10	2057-10-29	MC-25	38.15S, 70.45W	72	4076
60	2071-06-30	MC-26	39.57S, 13.74W	447	9366
9	2055-03-28	MC-19	26.35S, 14.99W	120	2324
32	2063-03-13	MC-17	28.87S, 106.18W	365	9670
85	2073-04-16	MC-13	2.22N, 74.06E	96	4076
51	2066-06-27	MC-26	59.72S, 53.07W	43	2461
64	2069-03-28	MC-28	38.78S, 70.47E	72	23366
27	2060-06-29	MC-30	68.84S, 88.63E	252	19313
2	2056-06-10	MC-22	6.18S, 107.45E	325	4398
86	2075-04-02	MC-01	69.22N, 112.23E	93	4398
47	2067-08-26	MC-11	2.51N, 12.38W	75	1788
39	2066-11-17	MC-30	79.14S, 170.85E	106	9985
47	2071-07-24	MC-11	12.01N, 28.30W	128	2461
86	2074-02-19	MC-07	58.58N, 144.90E	169	56210
78	2074-01-04	MC-16	5.09S, 160.06W	65	756
26	2058-10-04	MC-28	39.71S, 69.52E	57	4563
54	2069-10-22	MC-14	6.73N, 113.31E	88	1920
69	2071-01-31	MC-01	75.90N, 174.16W	169	4398
10	2060-01-21	MC-19	22.31S, 32.75W	24	8791
67	2069-10-12	MC-25	51.21S, 72.23W	24	101649
77	2078-04-24	MC-28	42.94S, 90.15E	117	14025
63	2068-02-20	MC-28	62.54S, 118.25E	791	1010
88	2073-09-06	MC-19	16.92S, 13.80W	109	8791
89	2075-02-19	MC-30	70.29S, 90.66W	791	17718
71	2071-11-03	MC-24	45.14S, 144.96W	65	2324
89	2072-12-28	MC-30	75.51S, 93.64W	29	5255
76	2078-04-15	MC-07	55.76N, 175.03E	212	10313
61	2072-08-31	MC-30	83.19S, 5.59W	344	11382
55	2071-05-01	MC-07	42.83N, 128.98E	88	4902
8	2054-09-25	MC-27	63.44S, 5.48E	14	2054
74	2072-12-12	MC-12	11.17N, 12.53E	48	8000
69	2073-06-10	MC-01	78.95N, 175.60W	365	31157
64	2069-04-16	MC-28	36.92S, 68.15E	1270	17000
41	2065-06-07	MC-01	84.99N, 49.37E	59	3022
17	2059-10-05	MC-14	27.67N, 110.07E	7	5076
27	2058-10-31	MC-30	85.96S, 95.10E	25	56210
77	2077-11-25	MC-22	15.96S, 107.51E	88	9074
5	2056-06-20	MC-13	6.49N, 48.27E	212	5255
5	2053-07-06	MC-20	18.56S, 41.86E	48	2599
34	2061-04-23	MC-14	18.10N, 110.80E	252	756
78	2074-12-22	MC-08	4.04N, 149.47W	82	756
47	2075-08-19	MC-12	1.68N, 3.34E	204	629
72	2075-07-03	MC-24	46.37S, 133.49W	447	12178
42	2070-01-25	MC-07	37.51N, 179.79E	54	3167
47	2073-01-20	MC-11	12.58N, 16.42W	117	1138
58	2069-11-03	MC-30	68.47S, 3.95W	447	29243
53	2067-02-23	MC-24	50.43S, 147.18W	524	4076
2	2056-05-18	MC-14	27.44N, 114.84E	20	1526
67	2070-05-03	MC-18	11.27S, 59.67W	221	6205
41	2068-05-02	MC-01	75.38N, 49.09E	96	11771
98	2072-03-08	MC-28	33.18S, 77.06E	90	15109
35	2062-12-23	MC-18	13.51S, 85.54W	34	9074
100	2073-07-22	MC-24	48.66S, 146.19W	325	2054
47	2075-12-10	MC-11	20.77N, 12.10W	67	8255
97	2070-05-28	MC-04	59.39N, 24.99W	188	13054
91	2074-11-22	MC-01	72.82N, 146.61W	48	3022
82	2070-12-04	MC-23	27.36S, 142.03E	29	3167
18	2057-05-08	MC-24	42.59S, 178.38W	344	24621
76	2076-12-24	MC-07	38.94N, 166.86E	241	1396
5	2055-05-25	MC-21	3.84S, 73.41E	45	1267
41	2071-01-12	MC-05	53.80N, 19.53E	29	3612
5	2057-03-12	MC-13	20.74N, 76.51E	128	4076
79	2074-11-20	MC-06	35.65N, 116.06E	137	629
77	2077-02-03	MC-28	43.29S, 112.04E	292	3313
60	2073-02-14	MC-26	45.49S, 31.89W	181	5622
76	2080-05-02	MC-07	44.67N, 175.75E	45	41937
47	2074-05-30	MC-11	20.16N, 33.91W	93	8255
99	2071-04-30	MC-12	25.25N, 12.17E	389	3612
97	2072-02-20	MC-01	83.15N, 19.64W	109	756
4	2056-10-31	MC-26	57.12S, 24.17W	37	8255
31	2063-04-02	MC-01	80.97N, 76.25W	344	629
47	2069-03-05	MC-04	38.30N, 18.98W	241	26004
35	2062-07-22	MC-17	6.91S, 97.84W	52	8255
22	2054-09-18	MC-21	17.61S, 62.19E	41	756
5	2057-01-31	MC-13	26.43N, 50.60E	344	9366
32	2060-10-07	MC-25	46.94S, 83.24W	212	13054
7	2055-12-29	MC-04	39.38N, 45.35W	325	3461
61	2073-12-25	MC-30	76.45S, 34.48W	52	12178
10	2057-06-03	MC-19	3.48S, 40.42W	103	756
32	2061-07-27	MC-17	25.94S, 103.44W	905	4076
2	2058-06-03	MC-15	13.96N, 144.65E	61	629
13	2053-09-13	MC-01	72.84N, 112.94E	70	4902
91	2075-04-24	MC-01	74.57N, 142.19W	47	4563
74	2073-07-21	MC-12	26.60N, 6.49E	57	15109
71	2071-06-25	MC-24	56.23S, 148.80W	22	3167
65	2068-08-02	MC-11	3.63N, 13.20W	169	4398
44	2071-05-10	MC-01	67.73N, 113.26E	241	7279
47	2068-12-18	MC-04	41.92N, 22.69W	277	1396
95	2071-08-13	MC-09	27.09N, 97.91W	482	6006
27	2064-03-04	MC-30	66.24S, 116.83E	482	9366
35	2063-03-08	MC-25	31.34S, 117.85W	25	14025
2	2055-03-30	MC-14	19.47N, 113.80E	106	2461
27	2056-02-02	MC-28	52.22S, 114.58E	41	8000
7	2056-08-12	MC-01	68.54N, 28.81W	106	3764
61	2073-08-25	MC-30	86.65S, 25.26W	572	5076
75	2077-05-14	MC-22	27.46S, 112.84E	133	15700
87	2072-01-07	MC-26	44.90S, 36.48W	20	5622
65	2069-09-15	MC-19	15.96S, 22.41W	77	7279
76	2076-08-31	MC-01	67.54N, 178.30E	1057	2324
22	2057-08-20	MC-12	8.75N, 34.90E	54	5622
75	2073-03-05	MC-29	47.21S, 124.97E	133	4398
25	2056-02-26	MC-24	44.31S, 157.03W	80	9074
61	2070-09-24	MC-26	59.37S, 18.21W	59	8519
2	2052-07-21	MC-14	23.45N, 123.80E	39	6409
69	2072-08-28	MC-01	77.51N, 157.94E	39	9074
9	2058-07-26	MC-19	6.10S, 26.91W	389	2599
32	2062-12-23	MC-25	31.14S, 112.06W	34	3612
17	2062-04-07	MC-14	28.87N, 104.91E	133	4563
55	2070-07-10	MC-07	37.26N, 129.14E	85	13054
34	2062-09-01	MC-14	7.69N, 115.73E	93	5076
42	2064-10-20	MC-02	48.06N, 177.16W	572	21171
63	2067-08-05	MC-28	55.29S, 118.48E	572	13054
46	2066-05-31	MC-24	49.17S, 123.47W	72	3313
14	2054-08-02	MC-11	14.50N, 20.08W	344	3764
18	2060-04-09	MC-23	29.34S, 146.85E	1270	7752
98	2073-10-08	MC-28	42.70S, 101.16E	22	12178
